user_name;hour;timezone
bigspotteddog"";"7";"None"
creationix"";"13";"-6"
dsaff"";"15";"-5"
codeguy"";"14";"-5"
philsturgeon"";"19";"2"
toland"";"14";"-6"
burns"";"17";"-5"
zachleat"";"17";"-6"
eighthave"";"17";"-5"
tbosch"";"16";"-8"
watsonian"";"18";"-6"
farinspace"";"0";"-6"
nicktelford"";"12";"0"
sikachu"";"14";"-5"
iosdeveloper"";"10";"None"
Diaoul"";"12";"1"
mtitolo"";"10";"-8"
nrs135"";"9";"1"
jeromelebel"";"0";"1"
ghostdance"";"12";"None"
rcherny"";"8";"-5"
grootjans"";"22";"1"
davedelong"";"15";"-8"
tenderlove"";"11";"-8"
sgiehl"";"23";"1"
visionmedia"";"9";"-8"
stympy"";"8";"-8"
mohans"";"9";"-8"
jyr"";"21";"None"
wesbaker"";"12";"-5"
ChrisJohnsen"";"16";"-6"
fluffle"";"0";"0"
jasl8r"";"12";"None"
adamgit"";"8";"None"
tamland"";"4";"None"
aparajita"";"12";"None"
JamesDullaghan"";"13";"-8"
easternbloc"";"12";"0"
chimney-sweeper"";"16";"None"
scottjehl"";"10";"-6"
ole"";"14";"1"
ryantenney"";"17";"-5"
imakewebthings"";"15";"-8"
bowrocker"";"9";"None"
arashpayan"";"18";"-8"
databyte"";"19";"-5"
Snugug"";"10";"-5"
nathansmith"";"10";"-6"
indirect"";"12";"-8"
koriroys"";"19";"-6"
cescoffier"";"10";"1"
rsanheim"";"19";"-6"
jigish"";"18";"-8"
jasonrudolph"";"10";"-5"
huyng"";"17";"None"
kmalakoff"";"16";"-8"
geuis"";"12";"-8"
jflitton"";"9";"None"
udzura"";"20";"9"
jonathantneal"";"10";"-8"
kaleworsley"";"10";"12"
behrad"";"0";"None"
phproberto"";"0";"1"
shtylman"";"10";"None"
tommcfarlin"";"8";"-5"
warrenm"";"17";"-8"
nirav"";"11";"None"
cowboy"";"12";"-5"
chneukirchen"";"18";"1"
mlharvest"";"10";"None"
tomislav"";"16";"1"
ksheedlo"";"16";"-7"
raziel"";"10";"None"
daffl"";"15";"-7"
timvieira"";"12";"-5"
javan"";"9";"-5"
razorjack"";"20";"1"
croaky"";"10";"-8"
sidorares"";"11";"10"
swalkinshaw"";"15";"-5"
mrded"";"0";"0"
tmort"";"12";"-5"
stffn"";"22";"1"
michaeltyson"";"17";"None"
albertotretti"";"16";"None"
mwbrooks"";"15";"-8"
janl"";"18";"1"
groys"";"19";"None"
HenrikJoreteg"";"15";"-8"
jelmer"";"1";"1"
codecomputerlove"";"8";"0"
TheHydroImpulse"";"21";"-7"
mbebenita"";"14";"None"
andreberg"";"22";"1"
L2G"";"13";"-8"
OpaOnWindowsNow"";"4";"None"
lewish"";"12";"0"
dbushell"";"14";"0"
draeton"";"23";"-5"
andris9"";"11";"2"
martey"";"14";"-5"
ametaireau"";"11";"1"
AlexBaranosky"";"22";"-8"
pwmckenna"";"10";"-8"
zedshaw"";"17";"-8"
jashkenas"";"11";"-5"
rniemeyer"";"8";"-6"
yokolet"";"20";"None"
JosePedroDias"";"1";"0"
hatefulcrawdad"";"11";"-8"
minad"";"22";"1"
jonathanong"";"16";"-8"
wmertens"";"1";"None"
tmm1"";"18";"-8"
fcarneiro"";"9";"None"
darkk"";"12";"3"
Raimondi"";"21";"None"
chebyte"";"16";"-3"
takoi"";"6";"None"
jwhitley"";"13";"-8"
sidestepism"";"15";"9"
sporkd"";"16";"-8"
onursumer"";"15";"None"
gregs1104"";"21";"-5"
ijl"";"17";"-5"
lennartcl"";"11";"1"
shpakovski"";"12";"1"
nz"";"17";"-7"
ashtuchkin"";"10";"-8"
viatropos"";"22";"-8"
SomMeri"";"5";"None"
binarydud"";"14";"-6"
Antaris"";"10";"None"
samandmoore"";"10";"-5"
enyo"";"23";"8"
justinfrench"";"22";"10"
bootstraponline"";"10";"None"
chjj"";"11";"-6"
ddollar"";"16";"-5"
rickynils"";"16";"1"
kvz"";"16";"1"
brettz9"";"8";"8"
epeli"";"16";"2"
tmilewski"";"13";"-5"
nschonni"";"16";"-5"
sintaxi"";"12";"-8"
OliverLetterer"";"10";"1"
gnarf37"";"10";"None"
jiedan"";"1";"8"
jaz303"";"0";"0"
joliss"";"14";"None"
Anthony25"";"20";"1"
rmtheis"";"20";"-8"
getfatday"";"14";"-6"
jeremyf"";"15";"-5"
fjakobs"";"15";"1"
dgrunwald"";"18";"1"
raggi"";"13";"-8"
glebm"";"17";"1"
nicoulaj"";"16";"1"
LazarSoft"";"8";"None"
Frug"";"17";"-5"
quantmind"";"18";"0"
mike-burns"";"16";"1"
fpillet"";"11";"1"
vanderhoorn"";"8";"None"
rwarasaurus"";"16";"0"
michael-grunder"";"11";"None"
apetresc"";"12";"-5"
eternicode"";"23";"-5"
ctran"";"23";"-8"
drudge"";"11";"-5"
SteveSanderson"";"3";"None"
tubbo"";"0";"-5"
dkowis"";"14";"-6"
mitchellh"";"11";"-8"
jkaving"";"6";"None"
OhaiBBQ"";"16";"-8"
tmcw"";"17";"-5"
seb-m"";"10";"1"
tzuryby"";"7";"2"
bitwiseman"";"13";"None"
Kurry"";"14";"-5"
majek"";"6";"None"
jhy"";"16";"-8"
MoOx"";"8";"1"
MathieuPOUX"";"6";"None"
seejohnrun"";"11";"-5"
sergeche"";"13";"3"
alexyoung"";"17";"0"
brandonaaron"";"7";"None"
hagberg"";"9";"-7"
rafaelgg"";"0";"1"
rmm5t"";"10";"-5"
rwldrn"";"10";"None"
DaRaFF"";"20";"1"
hegemonic"";"8";"-8"
andreafabrizi"";"15";"1"
lukas-vlcek"";"15";"1"
rsofaer"";"14";"None"
Felixyz"";"5";"None"
chrisboulton"";"19";"10"
c9developer"";"4";"None"
keithw"";"16";"-5"
carljm"";"11";"-7"
smileyj68"";"11";"-8"
premedios"";"11";"0"
banister"";"2";"1"
DmitryBaranovskiy"";"11";"10"
digitalBush"";"21";"-5"
jhough10"";"20";"None"
micho"";"13";"1"
Jacobkg"";"21";"None"
