user_name;hour;timezone
milewise"";"16";"-5"
codebutler"";"17";"-8"
argon"";"23";"0"
mattdipasquale"";"10";"-6"
cunnie"";"18";"-8"
yuedong2"";"13";"None"
DASPRiD"";"15";"1"
starwed"";"13";"None"
ben"";"13";"-8"
honcheng"";"18";"8"
adarshpandit"";"15";"None"
trybeee"";"9";"None"
macdonst"";"7";"None"
FotoVerite"";"12";"-5"
ebryn"";"14";"-6"
samcollins"";"15";"0"
trentm"";"11";"-8"
fehguy"";"9";"-8"
StefanH"";"0";"None"
sinzone"";"17";"-8"
gnpfonseca"";"9";"None"
sorenmacbeth"";"11";"-8"
jehiah"";"21";"-5"
umbrae"";"21";"-5"
straup"";"8";"-5"
jgdavey"";"21";"-6"
ddebin"";"11";"1"
parkr"";"17";"-5"
heff"";"11";"-8"
mneorr"";"11";"-8"
kemayo"";"11";"-6"
tomasr"";"22";"-5"
simpkins"";"17";"None"
peterbo"";"16";"1"
malclocke"";"0";"None"
peterbe"";"9";"-8"
danzel"";"10";"12"
rgrove"";"10";"-8"
briancavalier"";"6";"None"
DasIch"";"16";"1"
robhudson"";"16";"-8"
emsquared"";"16";"None"
norcross"";"10";"-5"
sarabander"";"14";"None"
jcasimir"";"8";"-7"
Darsain"";"22";"1"
mattbaker"";"10";"-6"
mclarkson"";"12";"0"
jviereck"";"12";"None"
ChrisMcKee"";"22";"0"
passy"";"22";"0"
jaredatch"";"23";"-6"
ariejan"";"14";"1"
twalpole"";"10";"-8"
lloyd"";"1";"2"
svnlto"";"15";"0"
Stuk"";"11";"-8"
swizzlr"";"10";"None"
alekseyn"";"12";"-8"
feisuzhu"";"7";"None"
cpytel"";"22";"-5"
jeromegn"";"10";"-5"
avar"";"15";"1"
georgeguimaraes"";"18";"-3"
atmos"";"12";"-8"
toji"";"10";"-8"
Zeelot"";"23";"-8"
popomore"";"17";"8"
ritch"";"11";"-8"
lokesh"";"22";"-8"
gfontenot"";"10";"-5"
bioothod"";"11";"None"
yinwang0"";"0";"-8"
niklasvh"";"20";"2"
jcreamer898"";"8";"None"
willdurand"";"9";"1"
saschagoebel"";"14";"1"
pferdefleisch"";"12";"1"
rtfb"";"21";"2"
theturtle32"";"17";"-8"
thiagolocatelli"";"17";"None"
jfirebaugh"";"15";"-8"
JacksonTian"";"11";"8"
erikfrey"";"13";"-8"
retlehs"";"11";"-6"
drublic"";"23";"1"
rtyley"";"23";"0"
davispuh"";"18";"2"
npostavs"";"20";"None"
jayli"";"16";"8"
Inori"";"9";"2"
btd"";"15";"3"
RichiH"";"16";"None"
NSinopoli"";"20";"-5"
bitemyapp"";"13";"-6"
zurbrandon"";"14";"-8"
maddox"";"14";"-5"
dbanck"";"1";"1"
BonsaiDen"";"22";"1"
zk00006"";"4";"None"
wpreul"";"9";"None"
jacobvosmaer"";"7";"None"
jferris"";"10";"-5"
jaubourg"";"16";"1"
toastdriven"";"17";"-6"
feltnerm"";"9";"-6"
oxtoacart"";"8";"None"
ttezel"";"13";"None"
benjaminoakes"";"21";"-6"
Sirupsen"";"12";"-5"
Reefaq"";"22";"None"
ynie"";"11";"-8"
Blackshawk"";"14";"-8"
injekt"";"5";"None"
flazz"";"21";"-6"
evocateur"";"10";"-8"
rafaelfranca"";"12";"-3"
cvrebert"";"11";"-8"
jdc0589"";"19";"None"
themattharris"";"16";"-8"
pivotalcommon"";"14";"None"
krallin"";"7";"None"
robflaherty"";"9";"-5"
harism"";"0";"0"
jvoegele"";"11";"-5"
nicholasserra"";"14";"-5"
plamoni"";"10";"-8"
nesquena"";"0";"-8"
ajpiano"";"10";"None"
inuyaksa"";"14";"None"
davetayls"";"9";"0"
timheuer"";"8";"-8"
chriscoyier"";"13";"-6"
seanmonstar"";"11";"-8"
wookiehangover"";"23";"-7"
futuretap"";"10";"1"
joewalnes"";"9";"-6"
paulasmuth"";"16";"0"
jokkedk"";"3";"None"
paroski"";"15";"None"
gep13"";"12";"None"
schacon"";"21";"-8"
erichkist"";"20";"-3"
barneywilliams"";"10";"-5"
Pomax"";"13";"-6"
sydlawrence"";"16";"0"
disy-mk"";"12";"None"
davidhellsing"";"15";"1"
bwalex"";"6";"0"
tomykaira"";"2";"None"
coxp"";"14";"0"
mtdowling"";"13";"-8"
juthilo"";"23";"1"
AlexanderWillner"";"5";"None"
nathanvda"";"14";"1"
jonschlinkert"";"16";"-5"
mahemoff"";"10";"0"
colszowka"";"14";"1"
sdsykes"";"12";"None"
escoz"";"17";"-6"
rodneyrehm"";"11";"1"
alrra"";"22";"2"
weixiyen"";"17";"-8"
Diablo-D3"";"14";"-5"
adactio"";"14";"0"
sebastien"";"9";"-5"
brixen"";"19";"-6"
vinniefalco"";"15";"-8"
andymatuschak"";"8";"None"
krainboltgreene"";"22";"-6"
carvajaldiazeduar"";"1";"-5"
deadprogram"";"17";"-8"
robbyrussell"";"23";"-8"
mobywhale-chan"";"3";"None"
dallonf"";"8";"-7"
rtomayko"";"12";"-8"
bnickel"";"22";"None"
kylef"";"17";"0"
kylefox"";"22";"-7"
jugglinmike"";"15";"None"
carlo-rtr"";"13";"None"
timaschew"";"8";"None"
unity"";"16";"-5"
pritamdamania"";"11";"None"
pfiller"";"17";"-5"
crcn"";"16";"-8"
toadkicker"";"14";"None"
Raven24"";"23";"1"
bcardarella"";"16";"-5"
darkxst"";"14";"None"
ianrenton"";"21";"0"
mattwildig"";"15";"None"
cubiq"";"17";"1"
swilliams-vmw"";"1";"None"
srobbin"";"10";"-6"
jkudish"";"9";"-8"
marcphilipp"";"22";"1"
kristianmandrup"";"16";"1"
richrines"";"13";"-8"
philc"";"23";"-8"
tbranyen"";"23";"-5"
poeschko"";"6";"1"
danzajdband"";"17";"-3"
seanlinsley"";"15";"-6"
bpmarkowitz"";"20";"-5"
lest"";"11";"2"
dazuma"";"17";"-8"
cloudhead"";"14";"1"
mccalltd"";"12";"-7"
mariomc"";"17";"0"
smari"";"3";"None"
coopernurse"";"7";"-8"
manusajith"";"1";"None"
tjanczuk"";"13";"-8"
yusukekamiyamane"";"3";"None"
chriskacerguis"";"13";"None"
ZaBlanc"";"13";"-7"
onyxfish"";"10";"-6"
bbinet"";"7";"None"
gregmalcolm"";"20";"-5"
kriszyp"";"13";"-7"
mataspetrikas"";"16";"1"
plapier"";"16";"-5"
metacret"";"10";"-8"
rochal"";"10";"10"
tjschuck"";"11";"-5"
stloyd"";"10";"1"
rywall"";"15";"-8"
Dignifiedquire"";"20";"1"
jamieoliver"";"17";"0"
NateLillich"";"12";"-8"
mreinstein"";"16";"-8"
0xfe"";"5";"None"
arcresu"";"12";"10"
mceachen"";"22";"None"
Eugeny"";"14";"2"
xaviershay"";"14";"10"
mystcolor"";"8";"None"
rdworth"";"9";"-6"
pivotalprivate"";"8";"None"
RJ"";"11";"0"
elcuervo"";"16";"-3"
nathan7"";"20";"1"
jacopotarantino"";"13";"None"
kukulich"";"22";"1"
ryanseddon"";"10";"10"
tswicegood"";"16";"-6"
caseyjhol"";"15";"None"
jeremy"";"17";"-7"
akrabat"";"21";"0"
leah"";"13";"-8"
nathanborror"";"23";"-8"
sixohsix"";"22";"1"
jeffarena"";"14";"None"
dosiecki"";"15";"None"
calebd"";"15";"-8"
msiniscalchi"";"16";"None"
tml"";"22";"None"
dch"";"23";"1"
justmoon"";"20";"1"
andrielfn"";"0";"-3"
rcillo"";"20";"None"
rasmusbergpalm"";"0";"None"
dreamingofelectricsheep"";"11";"None"
bkardell"";"22";"-5"
lakshmivyas"";"8";"None"
ishbu"";"15";"None"
ashb"";"10";"0"
jdevera"";"23";"1"
karlfreeman"";"9";"0"
myusuf3"";"13";"-5"
ryanfitz"";"15";"-5"
cmwinters"";"11";"None"
jfelchner"";"15";"-6"
liruqi"";"17";"8"
joelmoss"";"15";"0"
blundell"";"11";"0"
carsomyr"";"20";"-5"
tellnes"";"15";"1"
broofa"";"10";"-8"
davist11"";"14";"-5"
lahosken"";"9";"-8"
briancherne"";"6";"None"
cantino"";"13";"-8"
badosu"";"19";"-3"
dresende"";"23";"0"
philippkumar"";"15";"1"
petergoldstein"";"9";"-8"
travisjeffery"";"22";"-6"
robert-hoffmann"";"13";"1"
zenorocha"";"14";"-4"
shayfrendt"";"17";"-5"
thest1"";"9";"5"
nylen"";"14";"-6"
piscisaureus"";"19";"1"
joshuajnoble"";"11";"None"
guillermooo"";"23";"1"
0ip"";"16";"1"
adamwulf"";"13";"-6"
dr-nafanya"";"14";"None"
nathanmarz"";"14";"-8"
hbons"";"12";"0"
ryankee"";"9";"-8"
substack"";"23";"-8"
rmccue"";"13";"0"
drewnoakes"";"17";"0"
canarymason"";"10";"-5"
ericmmartin"";"9";"-8"
alokzurb"";"15";"None"
aterrien"";"23";"1"
mtigas"";"14";"-5"
Sonkun"";"8";"1"
isaacs"";"10";"-8"
mardambey"";"23";"-5"
ptwobrussell"";"20";"-6"
isagalaev"";"23";"-8"
miketheman"";"12";"-5"
mrmartineau"";"10";"0"
izuzak"";"15";"1"
eric"";"13";"-8"
jreese"";"10";"-8"
drewsymo"";"21";"10"
rickharrison"";"15";"-8"
simsalabim"";"9";"-6"
benschwarz"";"19";"10"
bmabey"";"10";"-7"
booo"";"12";"1"
adamzap"";"0";"-6"
timsu"";"13";"-8"
xonecas"";"16";"-8"
freegenie"";"15";"1"
henrikhodne"";"13";"-6"
alibby251"";"12";"None"
revans"";"9";"-8"
klaustopher"";"21";"1"
cherbst-medidata"";"15";"None"
sickill"";"23";"1"
malsup"";"7";"None"
thilko"";"21";"1"
philips"";"11";"-8"
dickwall"";"7";"None"
pdfjsbot"";"11";"None"
romanvbabenko"";"1";"2"
hns"";"16";"1"
paulrouget"";"8";"None"
cgriego"";"11";"-6"
carlosantoniodasilva"";"10";"-3"
tkirda"";"10";"-6"
